Marca,Nombre,Tipo,Indice,Precio,Costo,Stock,Unidad,Laboratorio,Esf_Min,Esf_Max,Cil_Min,Cil_Max,Adic_Min,Adic_Max
Varilux,COMFORT MAX - ORMA MI PRIMER VARILUX,Cristal Multifocal,1.5,567732,391000,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - AIRWEAR 1.59 MI PRIMER VARILUX,Cristal Multifocal,1.59,624360,430000,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - STYLIS 1.67 MI PRIMER VARILUX,Cristal Multifocal,1.67,656304,452000,0,PAR,OPTOVISION,,,,,,
Varilux,COMFORT MAX - ORMA TRANSITIONS GEN S MI PRIMER VARILUX,Cristal Multifocal,Foto,836352,576000,0,PAR,OPTOVISION,,,,,,
Smart,SMART FREE - Organico Blue Light AR Essential 2x1,Cristal Multifocal,1.56,646250,175000,0,PAR,GRUPO OPTICO,,,,,,
Smart,SMART FREE - Organico Blue Light AR Essential Fotocromatico Gris 2x1,Cristal Multifocal,1.56,1058145,228000,0,PAR,GRUPO OPTICO,,,,,,
Smart,SMART FREE - Policarbonato Blue Light AR Essential 2x1,Cristal Multifocal,1.56,981612.5,205000,0,PAR,GRUPO OPTICO,,,,,,
Smart,SMART FREE - Stylis Blue Light 2x1,Cristal Multifocal,1.67,998250,210000,0,PAR,GRUPO OPTICO,,,,,,
Smart,SMART FREE - Stylis Fotocromatico 2x1,Cristal Multifocal,1.67,1157970,258000,0,PAR,GRUPO OPTICO,,,,,,
Smart,SMART FREE - Stylis Blanco 2x1,Cristal Multifocal,1.74,1287742.5,297000,0,PAR,GRUPO OPTICO,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Orma 1.50 BLUE UV + AR Numax 2x1,Cristal Multifocal,1.5,1079289.75,164850,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Orma Transitions GEN S 1.50 + AR Numax 2x1,Cristal Multifocal,1.5,1697388,310800,0,PAR,OPTOVISION,,,,,,
Sygnus,"ESSILOR NEW EDITIONS - Orma Acclimates 1.50 + AR Numax (Foto Gris) 2x1",Cristal Multifocal,1.5,1332754.5,224700,0,PAR,OPTOVISION,,,,,,
Sygnus,"ESSILOR NEW EDITIONS - Orma Xperio 1.50 + AR Numax (Sol) 2x1",Cristal Multifocal,1.5,1697388,310800,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Airwear 1.59 + AR Numax 2x1,Cristal Multifocal,1.59,1168224.75,185850,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Airwear 1.59 BLUE UV + AR Numax 2x1,Cristal Multifocal,1.59,1215049.03,196906.5,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Airwear 1.59 Transitions GEN S + AR Numax 2x1,Cristal Multifocal,1.59,1897202.71,357981.75,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Airwear 1.59 Xperio + AR Numax 2x1,Cristal Multifocal,1.59,1897202.71,357981.75,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Stylis 1.67 + AR Numax 2x1,Cristal Multifocal,1.67,1473249.57,257874.75,0,PAR,OPTOVISION,,,,,,
Sygnus,ESSILOR NEW EDITIONS - Stylis 1.67 BLUE UV + AR Numax 2x1,Cristal Multifocal,1.67,1540951.34,273861,0,PAR,OPTOVISION,,,,,,
